,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,,Q147.OtherInfoAreas.Reponse3.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse1.Level3,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse3.Level2,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse4.Level1,Q163.SolutionsToAddressProblems,Q163.SolutionsToAddressProblems.Reponse1.Level1,Q163.SolutionsToAddressProblems.Reponse1.Level2,Q163.SolutionsToAddressProblems.Reponse1.Level3,Q163.SolutionsToAddressProblems.Reponse2.Level1,Q163.SolutionsToAddressProblems.Reponse2.Level2,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q93.BankAccountChallenges.Reponse1.Level1,Q93.BankAccountChallenges.Reponse2.Level1,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges.Reponse1.Level1,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2,Q99.SACCOChallenges.Reponse2.Level1
229,,,,,,,,,,,,,,,,,,"lack of fertilizers,  not planting in time because of late payment",Finance,Delayed payment,Inputs,Fertilizer,,,,,thtough agro forestry and mulching and terrasing,Soil mangement,Fertilizer,Mulching,Agroforestry,,,,,,,,,,,,,,,,added some fertilizer,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,"lack of fertilizers because no money, pests  and diseases, weather changes, soil infertility",Weather,Changing,Inputs,Fertilizer,,Soil mangement,Fertility,Pests,to do mulching mostly,Soil mangement,Fertilizer,Mulching,,,,,,,,,,,,,,,,,been getting inputs which are of good standards,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,"lack of fertilizers and manure, heavy rain, pests and diseases",Inputs,Fertilizer,Weather,Rain,Heavy,Pests,,,to mulch and apply fertilizers,Soil mangement,Fertilizer,Mulching,,,,,,,,,,,,,,,,,"do not apply fertilizers, manure",,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,"lack of fertilizers and manure, no enough labour, pests and diseases",Labour ,Shortage,Inputs,Fertilizer,Manure,Pests,,,to apply fertilizers mostly,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,not given fertilizers from mabale,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing really but fallowing majorly,Soil mangement,Fallowing,,,,,,,,,,,,,,,,,,do not have fertilizers,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,just watering majorly for drought,Irrigation,,,,,,,,,,,,,,,,,,,lack of manure and herbicides,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing much because its natural,None,,,,,,,,,,,,,,,,,,,last year did not have inputs to put in the farm,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing much,None,,,,,,,,,,,,,,,,,,,"lack of fertilizer, herbicides, late payment",,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,I hire land. I cut the affected coffee or banana trees and sometimes burn then. I practice terracing.,Cut & Burn Affected Area,,,Hire land,,,,,,,,,,,,,,,,"price for tea was low, lack of fertilizers",,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,we havent done anything,None,,,,,,,,,,,,,,,,,,,lack of fertilizer,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,thought to get loan from bank but interest rate is high,Finance,Loan,,,,,,,,,,,,,,,,,,"lack of fertilizers, no good workers",,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,spraying,Spraying,,,,,,,,,,,,,,,,,,,"did not apply fertilizer,  less labour",,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,he doesnot have where to get solution,None,,,,,,,,,,,,,,,,,,,lack of fertilizers and manure,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,mobilising money from tea,Prices,Seek higher prices,,,,,,,,,,,,,,,,,,applied manure,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,farmers should be provided with transport means to transport their tea,Request for transport,,,,,,,,,,,,,,,,,,,the workers have improved on plucking method,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,assistance with money,Finance,,,,,,,,,,,,,,,,,,,donot get manure to apply,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,bought more fertilizers,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,"poor leaf price, difficult in getting workers,",,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,"has not come up with any solution, living on hope that tommorow will be better",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,provide more fertilizers to farmers,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,conpany should provide farmers with fertilizers,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,getting money from his pocket to pay workers as am waiting for my salary,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,diversification,Diversification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,"get more loan, other things just do them for himself like prunning so that he should not put more in paying workers",Finance,Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,income diversification,Diversification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,should increase payment on tea,Prices,Seek higher prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,planning to buy manure to apply in the farm,Soil mangement,Fertilizer,Manure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,if iget money i buy fertilizers and spray to improve on yields,Soil mangement,Fertilizer,,Spraying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,seeized nolonger planting. his depending on what he has,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,wants to apply  fertilizers in small portions of tea,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,not sure,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,decided to buy little manure and herbicides,Soil mangement,Fertilizer,Manure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,buy little herbicides and fertilizers,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,bought few fertilizers,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,apply little fertilizers,Soil mangement,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,dont have solution because lack money,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,buy little manure on the little money he has,Soil mangement,Fertilizer,Manure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,have applied little manure,Soil mangement,Fertilizer,Manure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,"keeping garden clean , destroyed diseased plants, hygiene mostly with banana bacterial wilt, application of organic manure",Soil mangement,Fertilizer,Manure,Farm mangement,Good agricultural practices,,,,,,,,,,,,,,,,,,,,,,,,,,,
